β = 10,β = 20,β = 30,β = 40,β = 50,β = 60,β = 70,β = 80,β = 90
6.790166,13.723584,20.913484,28.440575,36.356629,44.671269,53.344782,62.287517,71.369079
6.79638,13.738887,20.935883,28.472101,36.401543,44.736231,53.438564,62.420479,71.552429
6.802535,13.753455,20.960735,28.497446,36.435261,44.784176,53.509632,62.526196,71.705927
6.809808,13.765585,20.975634,28.515372,36.462191,44.820279,53.563761,62.61077,71.83565
6.819212,13.787971,20.99812,28.543776,36.486981,44.849288,53.60768,62.681579,71.949139
6.831483,13.810562,21.025264,28.571469,36.514073,44.880025,53.648418,62.746558,72.054693
6.847014,13.837898,21.058592,28.605793,36.547304,44.914719,53.692622,62.813426,72.160547
6.865845,13.870302,21.098968,28.64848,36.589573,44.958644,53.745914,62.888915,72.274043
6.887693,13.901637,21.146577,28.700345,36.642631,45.014694,53.812377,62.97811,72.400863
6.912029,13.947404,21.200977,28.761293,36.706998,45.084201,53.894217,63.083984,72.544456
6.938175,13.99493,21.261219,28.830428,36.782033,45.166925,53.99166,63.207188,72.705739
6.96497,14.043109,21.326001,28.906238,36.866125,45.261232,54.103098,63.346148,72.883139
6.991477,14.092983,21.39385,28.986832,36.956985,45.364436,54.225452,63.497438,73.072972
7.020511,14.14337,21.463285,29.070194,37.051997,45.473239,54.354705,63.656383,73.270083
7.047375,14.193942,21.532666,29.15377,37.147202,45.584222,54.486517,63.817775,73.468646
7.073346,14.243667,21.601759,29.237999,37.244888,45.695386,54.618809,63.979213,73.665065
7.098264,14.29205,21.669083,29.319962,37.339384,45.801111,54.742385,64.128697,73.848249
7.12207,14.338784,21.734195,29.399033,37.429721,45.903222,54.861058,64.271162,74.020985
7.144776,14.386761,21.797004,29.475128,37.5158,46.006758,54.972038,64.40262,74.17933
7.166435,14.427112,21.857569,29.547891,37.596128,46.092754,55.075776,64.523204,74.32306
7.187117,14.466067,21.911455,29.621523,37.68083,46.182096,55.174669,64.634358,74.453388
7.206891,14.503952,21.973993,29.692859,37.762021,46.270107,55.268314,64.739074,74.572621
7.225813,14.541003,22.030269,29.763995,37.843888,46.358782,55.361926,64.8385,74.682581
7.243919,14.583751,22.08576,29.835596,37.927615,46.449959,55.457123,64.937404,74.78988
7.26122,14.619687,22.140661,29.908096,38.014038,46.545048,55.55597,65.037835,74.894038
7.277706,14.654442,22.195016,29.981625,38.103523,46.644837,55.659836,65.14176,74.998591
7.293346,14.687971,22.2487,30.055992,38.195915,46.749404,55.769244,65.250267,75.105125
7.308098,14.72017,22.301023,30.130707,38.290571,46.858126,55.883846,65.363492,75.214306
7.321916,14.750885,22.352627,30.205048,38.386448,46.969791,56.002525,65.480693,75.325914
