α = 10,α = 20,α = 30,α = 40,α = 50,α = 60,α = 70,α = 80,α = 90
7.076343,14.213487,21.477003,29.000674,36.87365,45.202593,54.044232,63.377698,73.08935
7.100491,14.258778,21.544096,29.07887,36.956579,45.286701,54.132594,63.479068,73.219113
7.123848,14.303314,21.616126,29.159101,37.04291,45.374842,54.224204,63.589744,73.351195
7.146308,14.346799,21.677628,29.239643,37.131631,45.466226,54.318429,63.697156,73.475089
7.167779,14.388951,21.746267,29.320293,37.221907,45.560259,54.414866,63.800304,73.60001
7.188191,14.429522,21.809031,29.400188,37.313141,45.656575,54.51336,63.899038,73.715747
7.207502,14.468337,21.869695,29.478943,37.404975,45.755017,54.613966,64.001473,73.836482
7.225703,14.505305,21.922802,29.556399,37.497245,45.855567,54.716879,64.105446,73.945094
7.242819,14.549701,21.97947,29.632555,37.589904,45.958244,54.822317,64.209851,74.052123
7.258895,14.584132,22.034481,29.707491,37.682914,46.062996,54.930406,64.315152,74.154438
7.273993,14.616322,22.087991,29.781273,37.776161,46.169599,55.041071,64.42172,74.254371
7.288172,14.648,22.140056,29.853883,37.869378,46.277594,55.153963,64.529726,74.352951
7.301477,14.678213,22.190594,29.921581,37.962119,46.386278,55.268443,64.639069,74.45103
7.313933,14.706901,22.239391,29.993583,38.050917,46.490789,55.383615,64.749364,74.549169
7.325539,14.73394,22.286125,30.063358,38.143722,46.601486,55.497216,64.858118,74.647586
7.336271,14.759161,22.330421,30.130227,38.233333,46.709179,55.613173,64.970096,74.745128
7.346094,14.782385,22.371908,30.193574,38.318846,46.812683,55.725754,65.080253,74.844115
7.354968,14.803457,22.410281,30.25293,38.399621,46.906159,55.829861,65.1877,74.942186
7.362863,14.822279,22.445342,30.308023,38.475332,46.999337,55.933219,65.283373,75.038714
7.369777,14.838839,22.477033,30.358792,38.545962,47.091783,56.032699,65.392948,75.132051
7.375741,14.853221,22.505448,30.405383,38.611764,47.168491,56.132587,65.488508,75.225022
7.380831,14.856661,22.530822,30.448104,38.663924,47.251832,56.217826,65.5812,75.314159
7.38517,14.869318,22.553509,30.477932,38.726893,47.330829,56.302844,65.670501,75.400555
7.388918,14.880511,22.567008,30.518778,38.786038,47.396253,56.384633,65.756902,75.484451
7.392266,14.890521,22.588575,30.556366,38.841455,47.463877,56.467797,65.8446,75.568263
7.395414,14.899664,22.608161,30.590846,38.893185,47.529024,56.545583,65.927826,75.649333
7.398554,14.908259,22.626082,30.622385,38.941225,47.591849,56.621052,66.009465,75.729492
7.401845,14.916594,22.642648,30.651168,38.985553,47.652319,56.694338,66.08984,75.809306
7.405401,14.924898,22.658137,30.677383,39.026155,47.710255,56.765455,66.169163,75.889267
7.409277,14.933313,22.672762,30.70122,39.063048,47.765391,56.83432,66.24752,75.969731
7.413467,14.941886,22.686661,30.722854,39.096305,47.817444,56.900783,66.324883,76.050881
7.417909,14.950573,22.699889,30.742445,39.126065,47.871312,56.961651,66.40112,76.132713
7.4225,14.959254,22.712424,30.760133,39.152537,47.911363,57.023406,66.476031,76.215042
7.427113,14.967756,22.724189,30.776043,39.176,47.947501,57.085609,66.549378,76.297542
7.431615,14.975891,22.735075,30.790283,39.209346,47.991753,57.134467,66.62582,76.379789
7.435893,14.983481,22.744968,30.802957,39.231245,48.02709,57.190772,66.688519,76.46133
7.439864,14.990392,22.75378,30.814169,39.250725,48.059587,57.240694,66.757835,76.543154
7.443488,14.99655,22.761468,30.824024,39.268066,48.089559,57.287923,66.821111,76.620661
7.446774,15.001959,22.768052,30.842633,39.283534,48.117308,57.332666,66.883829,76.697859
7.449775,15.0067,22.773625,30.850144,39.297356,48.143082,57.375126,66.944205,76.773207
7.452584,15.010924,22.77835,30.84669,39.309711,48.167063,57.415476,67.002371,76.846692
7.455321,15.014836,22.782452,30.852457,39.320735,48.189362,57.453848,67.058478,76.918379
7.458117,15.018676,22.786209,30.85765,39.330535,48.210037,57.490319,67.115145,76.988372
7.461097,15.02269,22.789924,30.862499,39.339218,48.22911,57.524918,67.164995,77.056765
7.464372,15.027111,22.793906,30.867257,39.346909,48.2466,57.55763,67.215505,77.12359
7.46802,15.032129,22.798441,30.880764,39.353772,48.262546,57.588409,67.264112,77.18878
7.47208,15.037881,22.803773,30.885685,39.36002,48.277025,57.61719,67.310653,77.251184
7.476552,15.044434,22.810081,30.891,39.36591,48.290158,57.643903,67.354878,77.312851
7.481399,15.05179,22.817474,30.890391,39.374607,48.302108,57.668479,67.396476,77.365537
7.48655,15.059886,22.825982,30.898239,39.374208,48.314283,57.690861,67.426928,77.425076
7.491913,15.06861,22.835567,30.907171,39.383553,48.319821,57.705572,67.465947,77.480379
7.497387,15.077815,22.846131,30.917221,39.393302,48.332587,57.726796,67.500626,77.526862
7.502868,15.087342,22.857536,30.928365,39.403583,48.344394,57.745149,67.530818,77.569896
7.508267,15.097031,22.869613,30.940528,39.41449,48.355468,57.760856,67.552123,77.608092
7.513509,15.106737,22.882185,30.953586,39.426062,48.366034,57.774231,67.57253,77.641399
7.51854,15.116339,22.895075,30.96738,39.438276,48.376282,57.78563,67.589533,77.66997
7.523326,15.125744,22.908112,30.981718,39.440825,48.376242,57.786816,67.603448,77.69415
7.527855,15.134884,22.921147,30.996391,39.45283,48.384559,57.79396,67.614677,77.714434
7.532125,15.143716,22.934046,31.011184,39.465177,48.392802,57.800642,67.623667,77.731412
7.536146,15.152214,22.946698,31.02589,39.477689,48.400967,57.80569,67.630865,77.752538
7.53993,15.160366,22.959016,31.040329,39.490219,48.409051,57.810168,67.636475,77.763787
7.543489,15.168165,22.970934,31.054353,39.502652,48.417049,57.814259,67.640983,77.773165
7.546832,15.175605,22.982406,31.067857,39.514911,48.424957,57.818093,67.652871,77.781056
7.54996,15.182679,22.993401,31.080783,39.526956,48.43277,57.821743,67.655076,77.787753
7.55287,15.189373,23.003901,31.093111,39.538772,48.440484,57.825236,67.656324,77.793469
7.55555,15.195668,23.013892,31.104852,39.550361,48.448094,57.837637,67.65673,77.798351
7.557987,15.201538,23.023358,31.116038,39.570808,48.455599,57.838425,67.656427,77.802503
7.560164,15.206953,23.032281,31.126704,39.579972,48.47048,57.838835,67.655576,77.806007
7.562067,15.211879,23.040631,31.136879,39.588827,48.475241,57.8391,67.654374,77.808946
7.563684,15.216286,23.048375,31.14658,39.597493,48.480068,57.839484,67.653052,77.819373
7.565013,15.220148,23.055472,31.155805,39.606064,48.485169,57.840259,67.651868,77.821784
7.566056,15.223447,23.061882,31.164536,39.614612,48.490728,57.841692,67.651091,77.823447
7.566828,15.226183,23.067575,31.172744,39.623173,48.496892,57.84402,67.650989,77.817465
7.567349,15.228368,23.072532,31.180396,39.631758,48.503761,57.847437,67.651804,77.81964
7.567652,15.230035,23.076754,31.187461,39.64035,48.511384,57.852076,67.653735,77.822233
7.567774,15.23123,23.080263,31.193922,39.648911,48.519756,57.857998,67.656918,77.825431
7.567758,15.232018,23.083108,31.199774,39.65739,48.528823,57.86519,67.661415,77.829376
7.567646,15.232472,23.085355,31.205034,39.665732,48.538484,57.873567,67.667208,77.834151
7.567483,15.23267,23.087091,31.209737,39.67388,48.548606,57.882976,67.674198,77.839771
7.567307,15.232693,23.088408,31.213933,39.681781,48.559032,57.893214,67.682216,77.846171
7.567152,15.232614,23.089405,31.217684,39.689391,48.569597,57.904048,67.682232,77.853214
7.567042,15.232496,23.090174,31.221056,39.696679,48.580138,57.915226,67.689909,77.852463
7.566995,15.232388,23.090791,31.224113,39.703621,48.590506,57.916291,67.698241,77.85915
7.567016,15.232322,23.091319,31.226911,39.710205,48.600574,57.926714,67.706983,77.866063
