α,β,L1,L2,L3
5.122377,27.660247,-8.666667,21.076982,-12.410316
119.707949,157.00806,54,20.344111,-74.344111
-31.847716,-36.560942,-3.333333,-24.314858,27.648191
89.446324,-88.942301,59.333333,-25.047729,-34.285604
47.827168,57.305839,2,34.2194,-36.2194
-115.024326,-167.772958,-55.333333,-10.439569,65.772902
0.938478,-13.11536,7.333333,-11.749808,4.416474
-83.571004,86.328752,-50,47.517321,2.482679
-117.991296,-102.107744,12.666667,-57.141647,44.474981
-79.632427,24.032847,-44.666667,2.125481,42.541186
29.054139,-0.074544,18,1.39261,-19.39261
-103.609472,91.847443,-39.333333,60.082371,-20.749038
-2.163505,-68.02027,23.333333,-44.576597,21.243264
-47.380703,30.294061,-34,14.690531,19.309469
65.060696,31.855067,28.666667,13.95766,-42.624326
-89.034984,-88.198171,-28.666667,-30.701309,59.367975
38.077943,-52.402127,34,-31.43418,-2.56582
-15.373281,40.376526,-22.666667,26.922248,-4.255581
106.184629,126.539888,40,26.189376,-66.189376
-50.708269,-32.555017,-17.333333,-18.469592,35.802925
69.723234,-55.769119,45.333333,-19.202463,-26.13087
28.103418,61.830205,-12,40.064665,-28.064665
140.901538,-109.779107,50.666667,-65.171671,14.505004
-12.280708,-5.387796,-6.666667,-5.904542,12.571209
91.304696,-99.725081,56,-6.637413,-49.362587
100.378455,96.274996,-1.333333,52.629715,-51.296382
-101.078032,141.008991,-58.666667,7.970747,50.69592
9.499928,6.329465,4,6.660508,-10.660508
-142.334374,110.825895,-53.333333,65.927637,-12.594303
-30.641712,-59.108649,9.333333,-38.731332,29.397998
-72.475618,58.64043,-48,20.535797,27.464203
47.422347,34.486051,14.666667,19.802925,-34.469592
-111.056759,-139.310199,-42.666667,-24.856043,67.52271
11.2426,-38.499136,20,-26.166282,6.166282
-44.458983,56.642617,-37.333333,33.100847,4.232487
110.734389,120.882756,25.333333,32.367975,-57.701309
-69.767201,-31.73111,-32,-12.290993,44.290993
41.40584,-25.60982,30.666667,-13.023865,-17.642802
-6.165819,71.006381,-26.666667,45.665897,-18.99923
151.050858,-99.136862,36,-58.993072,22.993072
-34.243391,2.558555,-21.333333,0.274057,21.059276
72.105033,-11.26308,41.333333,-0.458814,-40.874519
113.432831,97.793135,-16,58.808314,-42.808314
76.659189,-82.618462,46.666667,-45.850654,-0.816012
-3.995049,15.015267,-10,12.505774,-2.505774
107.778488,157.32439,52.666667,11.772902,-64.439569
-49.939564,-54.772711,-4.666667,-32.886066,37.552733
93.642069,-94.562393,58,-33.618938,-24.381062
27.808903,37.730064,0.666667,25.648191,-26.314858
-130.551236,-167.631747,-56.666667,-19.588145,76.254811
-8.484405,-26.062098,6,-20.321016,14.321016
-78.905177,80.359662,-51.333333,38.946112,12.387221
78.339533,78.479326,11.333333,38.213241,-49.546574
-101.040322,-165.378909,-46,-6.445727,52.445727
