β = 10,β = 20,β = 30,β = 40,β = 50,β = 60,β = 70,β = 80,β = 90
4.588826,9.165616,13.755735,18.392355,23.101826,27.927267,32.857694,37.874111,42.980527
4.595462,9.184192,13.784924,18.424076,23.128033,27.929986,32.824804,37.806394,42.888503
4.600625,9.201835,13.820772,18.454584,23.154184,27.932725,32.793034,37.742563,42.807962
4.604811,9.218541,13.844426,18.484795,23.181174,27.937536,32.765979,37.6875,42.739889
4.608521,9.23802,13.867926,18.527838,23.209892,27.946359,32.746899,37.643666,42.688706
4.612187,9.24976,13.891826,18.564259,23.241048,27.960787,32.738393,37.622003,42.657501
4.616114,9.261587,13.916437,18.60018,23.275025,27.981887,32.742197,37.61182,42.647778
4.620434,9.273624,13.941734,18.635095,23.311809,28.010111,32.759095,37.622768,42.659426
4.625095,9.285736,13.967322,18.668419,23.350959,28.045288,32.790037,37.651751,42.690879
4.629872,9.29754,13.992462,18.695259,23.391208,28.090301,32.830776,37.697053,42.741033
4.634412,9.308467,14.01615,18.733534,23.432773,28.133068,32.882965,37.756165,42.801533
4.638295,9.317848,14.037251,18.752678,23.473024,28.182931,32.943404,37.826057,42.873319
4.64111,9.325025,14.054649,18.773732,23.511081,28.234559,33.009696,37.907584,42.95079
4.633017,9.329457,14.067409,18.790685,23.545731,28.286226,33.079331,37.987586,43.030171
4.632182,9.330823,14.074912,18.803467,23.576004,28.336325,33.149852,38.068285,43.108092
4.630888,9.329078,14.076955,18.812223,23.601271,28.383495,33.218994,38.146792,43.181745
4.637353,9.324488,14.073798,18.81731,23.621306,28.426702,33.284809,38.220658,43.248979
4.633078,9.317611,14.066153,18.819277,23.636295,28.465296,33.345756,38.293956,43.308374
4.628228,9.309246,14.038899,18.818812,23.646803,28.499015,33.400754,38.356223,43.359269
4.623377,9.300347,14.032902,18.816697,23.653697,28.527958,33.449197,38.410231,43.40175
4.619112,9.291923,14.028508,18.816678,23.658031,28.552505,33.492373,38.455922,43.43658
4.615974,9.284929,14.01593,18.803768,23.660918,28.573223,33.522101,38.493759,43.465074
4.624934,9.280169,14.017389,18.808209,23.663399,28.591727,33.555306,38.524601,43.488913
4.626636,9.278223,14.015025,18.806852,23.666572,28.601294,33.579034,38.549538,43.509924
4.629242,9.279395,14.01473,18.806982,23.66622,28.618476,33.59795,38.569721,43.529852
4.632712,9.2837,14.016672,18.808811,23.675533,28.629411,33.61261,38.586215,43.550676
4.636953,9.290888,14.020867,18.792199,23.682022,28.638554,33.623447,38.599647,43.571833
4.633607,9.300485,14.011281,18.799311,23.689433,28.645797,33.627363,38.611378,43.595414
4.641435,9.311872,14.023018,18.824427,23.697262,28.650925,33.636758,38.621066,43.620906
4.649641,9.324353,14.036693,18.832446,23.704919,28.64974,33.635597,38.629168,43.647911
4.657782,9.337245,14.0514,18.841428,23.711838,28.652979,33.633498,38.635801,43.675749
4.665485,9.349939,14.066318,18.852444,23.717573,28.653269,33.628778,38.641065,43.703609
4.672469,9.361955,14.080791,18.865834,23.721866,28.650435,33.621911,38.645121,43.730685
4.678567,9.372969,14.094373,18.877712,23.724687,28.644686,33.613536,38.648217,43.756275
4.683719,9.382816,14.106841,18.887933,23.726238,28.636611,33.604427,38.650696,43.779847
4.687956,9.391473,14.118169,18.896643,23.72692,28.627125,33.595445,38.652959,43.801045
4.691381,9.399026,14.128485,18.904201,23.727278,28.617361,33.58746,38.655415,43.819673
4.694131,9.405625,14.138006,18.911096,23.727932,28.60854,33.581277,38.658426,43.835648
4.696354,9.411445,14.14698,18.917854,23.729498,28.601827,33.580588,38.662251,43.848957
4.698178,9.416642,14.155621,18.924946,23.732519,28.604353,33.574716,38.666576,43.85935
4.699697,9.421327,14.164069,18.932727,23.737404,28.606064,33.579195,38.672706,43.867637
4.700959,9.42555,14.172362,18.947867,23.744387,28.611262,33.584805,38.679157,43.873037
4.701965,9.429293,14.18043,18.956892,23.753506,28.619915,33.593397,38.686097,43.875834
4.702678,9.43248,14.188106,18.96015,23.760085,28.631749,33.604557,38.693177,43.87607
4.703034,9.434993,14.195145,18.971942,23.775002,28.646272,33.617711,38.700011,43.873836
4.702957,9.436696,14.201262,18.983516,23.791119,28.662826,33.632177,38.706221,43.869294
4.702377,9.437451,14.206164,18.994358,23.807668,28.676252,33.647223,38.711478,43.862693
4.701243,9.437151,14.209586,18.995843,23.82386,28.695786,33.662128,38.715534,43.854385
4.699534,9.43573,14.211326,19.00111,23.833799,28.714691,33.676233,38.718257,43.844819
4.697267,9.433178,14.211265,19.005133,23.846316,28.732146,33.688994,38.719639,43.834538
4.694499,9.429551,14.209381,19.007808,23.857162,28.74752,33.700018,38.719812,43.820087
4.691324,9.424967,14.195858,19.009089,23.866011,28.7604,33.709084,38.719036,43.810921
4.687865,9.419602,14.200573,19.008984,23.872672,28.770591,33.716142,38.717675,43.802183
4.684268,9.413673,14.194089,19.007554,23.881569,28.7781,33.721301,38.716169,43.794629
4.680686,9.40743,14.186625,19.004906,23.882565,28.783091,33.724798,38.714984,43.794289
4.677271,9.401128,14.178536,19.008493,23.881406,28.785841,33.726952,38.714567,43.792438
4.67416,9.395018,14.170178,19.001331,23.878414,28.786681,33.728119,38.7153,43.793477
4.671467,9.389321,14.161889,18.993471,23.873924,28.785953,33.72446,38.717454,43.797418
4.669274,9.384221,14.153964,18.985248,23.868258,28.783967,33.726018,38.71678,43.804078
4.667626,9.37985,14.146638,18.976946,23.861696,28.78098,33.727661,38.723268,43.813089
4.666534,9.376288,14.140079,18.968788,23.854467,28.777179,33.729428,38.731247,43.82393
4.665972,9.373557,14.134384,18.960929,23.846747,28.772688,33.731249,38.740307,43.835962
4.665882,9.37163,14.129582,18.953463,23.838662,28.767574,33.732964,38.749928,43.848482
4.666184,9.370436,14.125646,18.952129,23.830296,28.76186,33.72933,38.759531,43.86077
4.666779,9.369868,14.122498,18.945466,23.82171,28.755547,33.729101,38.76853,43.872139
4.667562,9.369798,14.120029,18.93892,23.812949,28.748629,33.728405,38.776373,43.877751
4.668427,9.370088,14.118111,18.927789,23.804057,28.741104,33.727041,38.782574,43.886351
4.669275,9.370599,14.11661,18.922263,23.795084,28.728067,33.724826,38.786743,43.892442
4.670025,9.371203,14.115402,18.917017,23.7861,28.719309,33.721605,38.788592,43.895797
4.67061,9.371791,14.11438,18.912036,23.777192,28.715187,33.717265,38.78795,43.896342
4.670988,9.372279,14.113462,18.907329,23.768474,28.705678,33.716319,38.784763,43.894143
4.671137,9.372607,14.112597,18.90293,23.760075,28.695932,33.708327,38.779087,43.889387
4.671057,9.372746,14.111763,18.898896,23.752142,28.686108,33.699066,38.771081,43.882351
4.670762,9.372688,14.110963,18.895298,23.744826,28.67638,33.688714,38.760992,43.873379
4.670283,9.372444,14.110219,18.892215,23.738272,28.666926,33.677493,38.749131,43.862849
4.669652,9.372036,14.109559,18.889717,23.732603,28.657917,33.665651,38.735857,43.851149
4.668908,9.371492,14.109011,18.887855,23.727911,28.6495,33.653445,38.721553,43.838653
4.668082,9.370834,14.108591,18.886651,23.72424,28.64179,33.641128,38.706601,43.825697
4.667199,9.370077,14.108296,18.886085,23.721584,28.63978,33.628935,38.691363,43.807788
4.666275,9.369222,14.108098,18.886095,23.71988,28.634341,33.622052,38.676172,43.794075
