α = 10,α = 20,α = 30,α = 40,α = 50,α = 60,α = 70,α = 80,α = 90
1.835334,3.668758,5.532079,7.37371,9.216654,11.061133,12.906985,14.754623,16.606108
1.841459,3.680829,5.552465,7.402187,9.25464,11.110247,12.968543,14.829036,16.692379
1.850823,3.698759,5.576698,7.435085,9.297253,11.164027,13.034943,14.90894,16.785539
1.871437,3.721324,5.581322,7.470825,9.34219,11.219237,13.101844,14.988784,16.878824
1.87626,3.757997,5.632282,7.490615,9.387136,11.272875,13.165416,15.06382,16.966536
1.890239,3.77307,5.660946,7.543834,9.430088,11.322581,13.222831,15.130641,17.044618
1.903642,3.798459,5.686773,7.57801,9.475583,11.372532,13.269796,15.187564,17.111034
1.915628,3.821455,5.713943,7.609281,9.505152,11.405732,13.314822,15.234754,17.16586
1.925649,3.841105,5.73678,7.637311,9.536756,11.439651,13.350803,15.274016,17.21104
1.927087,3.856996,5.756818,7.662242,9.565155,11.470176,13.382821,15.308236,17.249762
1.939183,3.8692,5.788931,7.684493,9.591293,11.498972,13.41335,15.340596,17.285612
1.943054,3.867212,5.789031,7.704517,9.615988,11.527383,13.444392,15.373743,17.321657
1.945505,3.874961,5.801644,7.722579,9.639615,11.556018,13.476935,15.409128,17.359724
1.946964,3.88889,5.812088,7.738629,9.661956,11.584552,13.5107,15.446691,17.400031
1.947784,3.891853,5.820699,7.752912,9.683349,11.613292,13.545497,15.485138,17.439773
1.948186,3.893692,5.822829,7.757967,9.693129,11.635943,13.575209,15.521287,17.480834
1.948238,3.894459,5.824736,7.769987,9.711717,11.655022,13.601045,15.552762,17.515779
1.947883,3.89401,5.826152,7.772768,9.71852,11.667242,13.619314,15.576497,17.538921
1.94699,3.892106,5.826486,7.768168,9.714435,11.666638,13.625056,15.589963,17.563236
1.945413,3.88854,5.821737,7.767233,9.714865,11.669624,13.631801,15.592882,17.566527
1.943056,3.883238,5.813763,7.754055,9.700304,11.654007,13.61539,15.584138,17.560901
1.939904,3.87631,5.80359,7.739938,9.682604,11.633913,13.594765,15.564929,17.544315
1.936033,3.86805,5.791738,7.723187,9.660945,11.608204,13.566795,15.536969,17.518288
1.931597,3.858877,5.778789,7.704836,9.636876,11.578887,13.533747,15.502529,17.484878
1.926794,3.849247,5.76532,7.685905,9.611956,11.548038,13.498044,15.4641,17.446352
1.92183,3.83957,5.754864,7.667267,9.587542,11.517523,13.46194,15.424058,17.404888
1.916879,3.83014,5.741394,7.649548,9.56462,11.48876,13.427237,15.384379,17.362321
1.912064,3.821108,5.728814,7.637316,9.54371,11.462575,13.3951,15.346456,17.320008
1.907449,3.812485,5.716943,7.622589,9.531819,11.439178,13.366009,15.311041,17.278808
1.903046,3.80419,5.705465,7.608371,9.50406,11.414787,13.33709,15.276616,17.23876
1.898836,3.796105,5.694052,7.590301,9.491912,11.399213,13.316108,15.248114,17.20131
1.894799,3.788143,5.682483,7.577343,9.476723,11.381314,13.294123,15.22006,17.165388
1.890933,3.780302,5.670733,7.563817,9.461815,11.363998,13.273326,15.193874,17.131663
1.887281,3.772696,5.659009,7.548125,9.447058,11.34699,13.253418,15.169471,17.100563
1.883936,3.765563,5.647743,7.54036,9.432631,11.330375,13.234438,15.147021,17.072667
1.88103,3.759237,5.637531,7.529411,9.418985,11.314568,13.216742,15.126913,17.048609
1.878721,3.754094,5.638325,7.519918,9.40044,11.300215,13.200905,15.109651,17.028948
1.877159,3.750485,5.633464,7.508127,9.392012,11.282773,13.187582,15.09572,17.014046
1.876456,3.748671,5.630552,7.503594,9.385672,11.275047,13.173024,15.08017,17.00398
1.87666,3.748761,5.629719,7.501356,9.381801,11.269826,13.167381,15.075303,16.994055
1.87774,3.75069,5.63095,7.505509,9.38069,11.26742,13.164443,15.073076,16.993596
1.879582,3.754217,5.634084,7.508686,9.386776,11.272257,13.16848,15.073278,16.995358
1.882011,3.758969,5.632841,7.51423,9.392357,11.27721,13.172663,15.081381,17.004342
1.884811,3.764497,5.640794,7.515895,9.400485,11.28515,13.179883,15.088098,17.011506
1.887762,3.770347,5.649302,7.526405,9.410551,11.2955,13.189664,15.097111,17.020425
1.890672,3.776131,5.657801,7.537126,9.416293,11.307645,13.201527,15.108109,17.030884
1.893402,3.781571,5.665899,7.547608,9.42845,11.321012,13.215042,15.120894,17.042886
1.895879,3.786529,5.673399,7.557632,9.440628,11.335118,13.229858,15.135364,17.056594
1.898101,3.791002,5.680295,7.567182,9.452829,11.349597,13.245697,15.151462,17.072236
1.900121,3.795095,5.686718,7.576376,9.465137,11.364191,13.262327,15.169114,17.089984
1.902025,3.798975,5.692878,7.585393,9.477632,11.378715,13.279518,15.188151,17.109841
1.903912,3.802821,5.698987,7.59439,9.490314,11.387459,13.296996,15.203708,17.125997
1.905859,3.806777,5.705204,7.60344,9.503058,11.404707,13.308943,15.228938,17.152826
1.907907,3.810912,5.711583,7.612504,9.515609,11.42173,13.331089,15.244929,17.180134
1.910047,3.815198,5.718058,7.621417,9.527603,11.437843,13.352346,15.271633,17.198578
1.912217,3.819516,5.724449,7.629913,9.538622,11.444105,13.361917,15.287732,17.223602
1.914314,3.823669,5.730488,7.637671,9.548254,11.454127,13.374632,15.303866,17.243389
1.916209,3.82742,5.73587,7.644363,9.547975,11.462571,13.385175,15.317313,17.260255
1.917772,3.830528,5.740298,7.649713,9.553672,11.469291,13.393368,15.327785,17.273747
1.918889,3.83279,5.743536,7.653538,9.557998,11.474232,13.399194,15.335228,17.283697
1.919487,3.834072,5.745443,7.655772,9.5609,11.477433,13.402782,15.339802,17.290207
1.91954,3.834332,5.745989,7.656466,9.568644,11.47901,13.404376,15.341833,17.293592
1.919073,3.833616,5.745254,7.655773,9.567714,11.484863,13.404288,15.341749,17.29946
1.918155,3.832052,5.743405,7.653908,9.565744,11.48226,13.408117,15.340004,17.292864
1.916892,3.829822,5.740667,7.651109,9.563012,11.479186,13.403958,15.342664,17.289743
1.9154,3.827134,5.737281,7.647599,9.559715,11.475886,13.399912,15.337164,17.285343
1.913799,3.824191,5.733476,7.643559,9.555946,11.472411,13.396108,15.332132,17.28648
